,weight_2023,pitax_2023,total_income_2023,weight_2024,pitax_2024,total_income_2024,weight_ref_2024,pitax_ref_2024,total_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_income_ref_2027,weight_ref_2028,pitax_ref_2028,total_income_ref_2028,weight_ref_2029,pitax_ref_2029,total_income_ref_2029,weight_ref_2030,pitax_ref_2030,total_income_ref_2030,weight_ref_2031,pitax_ref_2031,total_income_ref_2031,weight_ref_2032,pitax_ref_2032,total_income_ref_2032,ETR,ETR_ref
0,"23,631.1138",0.0000,199.0000,"21,051.5741",0.0000,199.0000,"21,051.5741",0.0000,199.0000,"21,051.5741",0.0000,220.0000,"21,051.5741",0.0000,245.0000,"21,051.5741",0.0000,272.0000,"21,051.5741",0.0000,302.0000,"21,051.5741",0.0000,335.0000,"21,051.5741",0.0000,372.0000,"21,051.5741",0.0000,412.0000,"21,051.5741",0.0000,458.0000,0.0000,0.0000
1,"23,681.8244",0.0000,519.0000,"21,096.7491",0.0000,518.0000,"21,096.7491",0.0000,518.0000,"21,096.7491",0.0000,575.0000,"21,096.7491",0.0000,638.0000,"21,096.7491",0.0000,708.0000,"21,096.7491",0.0000,786.0000,"21,096.7491",0.0000,873.0000,"21,096.7491",0.0000,968.0000,"21,096.7491",0.0000,"1,075.0000","21,096.7491",0.0000,"1,193.0000",0.0000,0.0000
2,"23,681.8244",0.0000,783.0000,"21,096.7491",0.0000,781.0000,"21,096.7491",0.0000,781.0000,"21,096.7491",0.0000,867.0000,"21,096.7491",0.0000,963.0000,"21,096.7491",0.0000,"1,068.0000","21,096.7491",0.0000,"1,186.0000","21,096.7491",0.0000,"1,316.0000","21,096.7491",0.0000,"1,461.0000","21,096.7491",0.0000,"1,622.0000","21,096.7491",0.0000,"1,800.0000",0.0000,0.0000
3,"23,681.8244",0.0000,"1,164.0000","21,096.7491",0.0000,"1,162.0000","21,096.7491",0.0000,"1,162.0000","21,096.7491",0.0000,"1,290.0000","21,096.7491",0.0000,"1,431.0000","21,096.7491",0.0000,"1,589.0000","21,096.7491",0.0000,"1,764.0000","21,096.7491",0.0000,"1,958.0000","21,096.7491",0.0000,"2,173.0000","21,096.7491",0.0000,"2,412.0000","21,096.7491",0.0000,"2,677.0000",0.0000,0.0000
4,"23,681.8244",0.0000,"1,530.0000","21,096.7491",0.0000,"1,527.0000","21,096.7491",0.0000,"1,527.0000","21,096.7491",0.0000,"1,695.0000","21,096.7491",0.0000,"1,881.0000","21,096.7491",0.0000,"2,088.0000","21,096.7491",0.0000,"2,318.0000","21,096.7491",0.0000,"2,573.0000","21,096.7491",0.0000,"2,856.0000","21,096.7491",0.0000,"3,170.0000","21,096.7491",0.0000,"3,519.0000",0.0000,0.0000
5,"23,681.8244",0.0000,"1,858.0000","21,096.7491",0.0000,"1,853.0000","21,096.7491",0.0000,"1,853.0000","21,096.7491",0.0000,"2,057.0000","21,096.7491",0.0000,"2,284.0000","21,096.7491",0.0000,"2,535.0000","21,096.7491",0.0000,"2,814.0000","21,096.7491",0.0000,"3,123.0000","21,096.7491",0.0000,"3,467.0000","21,096.7491",0.0000,"3,848.0000","21,096.7491",2.0000,"4,271.0000",0.0000,0.0000
6,"23,681.8244",0.0000,"2,135.0000","21,096.7491",0.0000,"2,131.0000","21,096.7491",0.0000,"2,131.0000","21,096.7491",0.0000,"2,365.0000","21,096.7491",0.0000,"2,625.0000","21,096.7491",0.0000,"2,914.0000","21,096.7491",0.0000,"3,234.0000","21,096.7491",0.0000,"3,590.0000","21,096.7491",0.0000,"3,985.0000","21,096.7491",4.0000,"4,423.0000","21,096.7491",9.0000,"4,910.0000",0.0000,0.0000
7,"23,681.8244",0.0000,"2,504.0000","21,096.7491",0.0000,"2,499.0000","21,096.7491",0.0000,"2,499.0000","21,096.7491",0.0000,"2,773.0000","21,096.7491",0.0000,"3,079.0000","21,096.7491",0.0000,"3,417.0000","21,096.7491",1.0000,"3,793.0000","21,096.7491",3.0000,"4,210.0000","21,096.7491",10.0000,"4,674.0000","21,096.7491",18.0000,"5,188.0000","21,096.7491",27.0000,"5,758.0000",0.0000,0.0000
8,"23,681.8244",0.0000,"2,885.0000","21,096.7491",0.0000,"2,879.0000","21,096.7491",0.0000,"2,879.0000","21,096.7491",0.0000,"3,195.0000","21,096.7491",0.0000,"3,547.0000","21,096.7491",0.0000,"3,937.0000","21,096.7491",2.0000,"4,370.0000","21,096.7491",6.0000,"4,851.0000","21,096.7491",10.0000,"5,384.0000","21,096.7491",15.0000,"5,977.0000","21,096.7491",78.0000,"6,634.0000",0.0000,0.0000
9,"23,681.8244",0.0000,"3,265.0000","21,096.7491",0.0000,"3,257.0000","21,096.7491",0.0000,"3,257.0000","21,096.7491",0.0000,"3,616.0000","21,096.7491",0.0000,"4,013.0000","21,096.7491",4.0000,"4,455.0000","21,096.7491",10.0000,"4,945.0000","21,096.7491",16.0000,"5,489.0000","21,096.7491",25.0000,"6,092.0000","21,096.7491",103.0000,"6,763.0000","21,096.7491",261.0000,"7,507.0000",0.0000,0.0000
