,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
current_law_All,532.33,549.96,628.76,717.29,816.59,927.82,1052.32,1191.60,1347.30,1521.26
reform_All,532.33,476.77,540.28,610.46,687.85,773.00,866.48,968.95,1080.85,1202.72
